,'File' Attachments,Edition,Issue,Date,Newspaper,Notes,Place Published,Location,Record Number,Reference Type,Reporter,Short Title,Title,Year,Reference Type,Archive
290,"internal-pdf://2511712087/Orleans County Monitor, February 17, 1909.pdf",,,17-Feb-09,Orleans County Monitor,,Congregational church dining room,"Barton, Vermont",6164, Newspaper Article,,Ladies’ Home Circle,Ladies’ Home Circle,18-Feb-09,,LOC Conundrum Supper
291,"internal-pdf://3896290002/Orleans County Monitor, February 16, 1906.pdf",,,16-Feb-06,Orleans County Monitor,,Miss Drew’s S.S. class,"Barton, Vermont",6324, Newspaper Article,,Ladies’ Aid,Ladies’ Aid,21-Feb-06,,LOC Conundrum Supper
292,"internal-pdf://3829176419/Orleans County Monitor, February 20, 1899.pdf",,,"February 20, 1899",Orleans County Monitor,,M.E. Church,"Barton, Vermont",6135, Newspaper Article,,Epworth League,Epworth League,"February 24, 1899",,LOC Conundrum Supper
293,"internal-pdf://2525953559/Orleans County Monitor, December 31, 1913.pdf",,,31-Dec-13,Orleans County Monitor,,Methodist church,"Barton, Vermont",6349, Newspaper Article,,The Opportunity Circle,The Opportunity Circle,2-Jan-14,,LOC Conundrum Supper
294,"internal-pdf://2044897756/Orleans County Monitor, January 09, 1899.pdf",,,"January 09, 1899",Orleans County Monitor,,Mrs J.H. Hoyt’s,"Barton, Vermont",6138, Newspaper Article,,Earnest Workers,Earnest Workers,"January 11, 1899",,LOC Conundrum Supper
295,"internal-pdf://2073785404/Orleans County Monitor, June 21, 1916.pdf",,,21-Jun-16,Orleans County Monitor,,Schoolhouse,"Barton, Vermont",6344, Newspaper Article,,Willing Workers,Willing Workers,27-Jun-16,,LOC Conundrum Supper
296,"internal-pdf://2753683407/Orleans County Monitor, February 26, 1913.pdf",,,26-Feb-13,Orleans County Monitor,,Vestry of the Congregational Church,"Barton, Vermont",6348, Newspaper Article,,The Earnest Workers,The Earnest Workers,4-Mar-13,,LOC Conundrum Supper
297,"internal-pdf://0029777560/Orleans County Monitor, March 21, 1917.pdf",,,21-Mar-17,Orleans County Monitor,,N/A,"Barton, Vermont",6350, Newspaper Article,,YPCU,YPCU,14-Mar-17,,LOC Conundrum Supper
298,"internal-pdf://0309198986/Orleans County Monitor, March 12, 1906.pdf",,,12-Mar-06,Orleans County Monitor,,Home of Mr and Mrs W. Lamsden,"Barton, Vermont",6325, Newspaper Article,,Ladies’ Social Circle,Ladies’ Social Circle,16-Mar-06,,LOC Conundrum Supper
299,"internal-pdf://1101513923/Orleans County Monitor, May 01, 1918.pdf",,,1-May-18,Orleans County Monitor,,Crystal Lake Grange,"Barton, Vermont",6142, Newspaper Article,,N/A,N/A,3-May-18,,LOC Conundrum Supper
300,"internal-pdf://1338299904/Orleans County Monitor, May 01, 1918.pdf",,,1-May-18,Orleans County Monitor,,Crystal Lake Grange,"Barton, Vermont",6347, Newspaper Article,,N/A,N/A,3-May-18,,LOC Conundrum Supper
301,"internal-pdf://3109516650/Orleans County Monitor, May 17, 1916.pdf",,,17-May-16,Orleans County Monitor,,Campanian Lake Grange Hall,"Barton, Vermont",6343, Newspaper Article,,Campanian Lake Grange,Campanian Lake Grange,18-May-16,,LOC Conundrum Supper
302,"internal-pdf://3172686003/Orleans County Monitor, March 21, 1898.pdf",,,"March 21, 1898",Orleans County Monitor,,F.F. Kimball’s,"Barton, Vermont",6137, Newspaper Article,,Rev. Mr. Lyster,Rev. Mr. Lyster,N/A,,LOC Conundrum Supper
303,"internal-pdf://0786039021/Orleans County Monitor, August 16, 1916.pdf",,,16-Aug-16,Orleans County Monitor,,The Hall,"Barton, Vermont",6345, Newspaper Article,,N.A,N.A,N/A,,LOC Conundrum Supper
304,"internal-pdf://1376710091/Orleans County Monitor, November 20, 1893.pdf",,,"November 20, 1893",Orleans County Monitor,,N/A,"Barton, Vermont",6161, Newspaper Article,,N/A,N/A,"November 14, 1893",,LOC Conundrum Supper
305,"internal-pdf://1251300605/Orleans County Monitor, November 16, 1903.pdf",,,16-Nov-03,Orleans County Monitor,,N/A,"Barton, Vermont",6327, Newspaper Article,,The Daughters of Liberty,The Daughters of Liberty,14-Nov-03,,LOC Conundrum Supper
306,"internal-pdf://2273590852/Orleans County Monitor, November 13, 1899.pdf",,,"November 13, 1899",Orleans County Monitor,Mentioned also November 20.,Home of Mr and Mrs Hoyt,"Barton, Vermont",6136, Newspaper Article,,Epworth League,Epworth League,"November 17, 1899",,LOC Conundrum Supper
307,"internal-pdf://2389393257/Orleans County Monitor, October 15, 1900.pdf",,,15-Oct-00,Orleans County Monitor,,Town hall,"Barton, Vermont",6323, Newspaper Article,,N/A,N/A,11-Oct-00,,LOC Conundrum Supper
308,"internal-pdf://2045826606/Orleans County Monitor, October 24, 1892.pdf",,,"October 24, 1892",Orleans County Monitor,,Hazen Hall,"Barton, Vermont",6330, Newspaper Article,,Ladies’ Aid Society,Ladies’ Aid Society,"October 28, 1892",,LOC Conundrum Supper
309,"internal-pdf://0943947733/Orleans County Monitor, August 10, 1891.pdf",,,"August 10, 1891",Orleans County Monitor,Also mentioned August 24.,WRC Hall,"Barton, Vermont",6158, Newspaper Article,,Ladies of WRC,Ladies of WRC,"September 02, 1891",,LOC Conundrum Supper
310,"internal-pdf://3732194520/Orleans County Monitor, September 19, 1898.pdf",,,"September 19, 1898",Orleans County Monitor,,N/A,"Barton, Vermonbt",6329, Newspaper Article,,The Epworth League,The Epworth League,"September 20, 1898",,LOC Conundrum Supper
311,"internal-pdf://3616831736/Orleans County Monitor, March 28, 1892.pdf",,,"March 28, 1892",Orleans County Montitor,,Institute Hall,"Barton, Vermont",6159, Newspaper Article,,N/A,N/A,"April 01, 1892",,LOC Conundrum Supper
312,"internal-pdf://2442186206/Ottumwa semi-weekly courier, February 13, 1900.pdf",,,13-Feb-00,Ottumwa semi-weekly courier,,Residence of David Metzler,"Packwood, Iowa",6191, Newspaper Article,,Ladies Aid society of the M.E. church,Ladies Aid society of the M.E. church,7-Feb-00,,LOC Conundrum Supper
313,"internal-pdf://1776808928/The Owosso times, August 07, 1908.pdf",,,7-Aug-08,The Owosso times,,Parsonage lawn,"Henderson, Michigan",6256, Newspaper Article,,C.E. of the Disciple church,C.E. of the Disciple church,8-Aug-08,,LOC Conundrum Supper
314,"internal-pdf://2511712086/Oxford Democrat, August 06, 1895.pdf",,,"August 06, 1895",Oxford Democrat,,Garland Chapel,"Bethel, Maine",6215, Newspaper Article,,Ladies’ Club,Ladies’ Club,"August 15, 1895",,LOC Conundrum Supper
315,"internal-pdf://2550207928/Oxford Democrat, December 19, 1911.pdf",,,19-Dec-11,Oxford Democrat,,N/A,"Oxford, Maine",6214, Newspaper Article,,Ladies of the Relief Corps,Ladies of the Relief Corps,8-Dec-11,,LOC Conundrum Supper
316,"internal-pdf://1687926645/Oxford Democrat, January 05, 1909.pdf",,,5-Jan-09,Oxford Democrat,Contains eBOF,Residence of Mrs. Stewart,"South Paris, Maine",6213, Newspaper Article,,Mrs. Dr. Stewart and Mrs. H.E. Wilson,Mrs. Dr. Stewart and Mrs. H.E. Wilson,28-Dec-08,,LOC Conundrum Supper
317,"internal-pdf://2639189045/Oxford Democrat, February 07, 1899.pdf",,,"February 07, 1899",Oxford Democrat,,Pythian hall,"Hiram, Maine",6207, Newspaper Article,,Young gentlemen of the Congregational church,Young gentlemen of the Congregational church,"February 02, 1899",,LOC Conundrum Supper
318,"internal-pdf://0943947732/Oxford Democrat, May 17, 1898.pdf",,,"May 17, 1898",Oxford Democrat,,Garland Chapel,"Bethel, Maine",6209, Newspaper Article,,Christian Endeavorers,Christian Endeavorers,"May 13, 1898",,LOC Conundrum Supper
319,"internal-pdf://2053999925/Oxford Democrat, February 02, 1897.pdf",,,"February 02, 1897",Oxford Democrat,,Hall,"Andover, Maine",6208, Newspaper Article,,King’s Daughters,King’s Daughters,N/A,,LOC Conundrum Supper
320,"internal-pdf://0349517443/The Pacific commercial advertiser, February 07.pdf",,,7-Feb-06,The Pacific commercial advertiser,,Methodist parsonage,"Honolulu, Hawaii",6079, Newspaper Article,,LAdies’ Aid society of the Methodist church,LAdies’ Aid society of the Methodist church,6-Feb-06,,LOC Conundrum Supper
321,"internal-pdf://3130390636/The Paducah daily sun, February 12, 1898.pdf",,,"February 12, 1898",The Paducah daily sun,Contains eBOF,Third Street M.E. church (corner Third and Norton),"Paducah, Kentucky",6200, Newspaper Article,,Ladies’ Aid Society,Ladies’ Aid Society,"February 14, 1898",,LOC Conundrum Supper
322,"internal-pdf://2407636603/The Palatka news and advertiser, September 04.pdf",,,4-Sep-14,The Palatka news and advertiser,,N/A,"Florahome, Florida",6075, Newspaper Article,,Village Improvement Association of Floralhome,Village Improvement Association of Floralhome,5-Sep-14,,LOC Conundrum Supper
323,"internal-pdf://4161208866/Peninsula Enterprise, December 14, 1901.pdf",,,14-Dec-01,Peninsula Enterprise,,N/A,"Accomac, Virginia",6386, Newspaper Article,,Missionary Society,Missionary Society,1-Jan-02,,LOC Conundrum Supper
324,"internal-pdf://2600308819/ Peninsula Enterprise, April 07, 1906.pdf",,,7-Apr-06,Peninsula Enterprise,,Home of Mr. and Mrs. Charles,"Accomac, Virginia",6390, Newspaper Article,,N/A,N/A,29-Mar-06,,LOC Conundrum Supper
325,"internal-pdf://0279121308/Peninsula Enterprise, November 02, 1901.pdf",,,2-Nov-01,Peninsula Enterprise,,Church in Upshur’s neck,"Accomac, Virginia",6388, Newspaper Article,,Ladies of Smith’s Chapel,Ladies of Smith’s Chapel,9-Nov-01,,LOC Conundrum Supper
326,"internal-pdf://1417076376/Peninsula Enterprise, October 26, 1907.pdf",,,26-Oct-07,Peninsula Enterprise,,Jr. O. U. A M.  Hall at Harborton,"Accomac, Virginia",6389, Newspaper Article,,"Robert E. Lee Council, No. 29, Daughters of Liberty,  and Iroquois Tribe, No. 24, Improved Order of Red Men","Robert E. Lee Council, No. 29, Daughters of Liberty,  and Iroquois Tribe, No. 24, Improved Order of Red Men",30-Oct-07,,LOC Conundrum Supper
327,"internal-pdf://3962693581/Peninsula Enterprise, September 21, 1901.pdf",,Also mentioned on September 28.,21-Sep-01,Peninsula Enterprise,,Church in Upshur’s neck,"Accomac, Virginia",6387, Newspaper Article,,Ladies of Smith’s Chapel,Ladies of Smith’s Chapel,28-Sep-01,,LOC Conundrum Supper
328,"internal-pdf://4206140843/The Pensacola journal, February 24, 1907.pdf",,,24-Feb-07,The Pensacola journal,Contains eBOF; Same event referenced in the issue from February 22; also called ‘Martha Washington Tea’ and elsewhere people dressed up as her for CS suppers - LOTS of information regarding the dinner set-up asthetics,Residence of Mrs. A. E. Zelius,"Pansacola, Florida",6074, Newspaper Article,,Epworth league of the First M.E. church,Epworth league of the First M.E. church,22-Feb-07,,LOC Conundrum Supper
329,"internal-pdf://3006968065/Perrysburg Journal, November 21, 1891.pdf",,,"November 21, 1891",Perrysburg Journal,Menu included.,Centennial hall,"Perrysburg, Ohio",5941, Newspaper Article,,N/A,N/A,"November 27, 1891",,LOC Conundrum Supper
330,"internal-pdf://2006138722/Perth Amboy evening news, May 02, 1913.pdf",,,2-May-13,Perth Amboy evening news,,Sunday school room of the Methodist church,"Perth Amboy, New Jersey",6402, Newspaper Article,,N/A,N/A,30-Apr-13,,LOC Conundrum Supper
331,"internal-pdf://2009726310/Perth Amboy evening news, June 08, 1910.pdf",,,8-Jun-10,Perth Amboy evening news,"Same event is referenced in the issues from June 2, May 31, June 09, and June 11; This newspaper contains a reference to another CS event as well",Lecture room of the church,"Woodbridge, New Jersey",6316, Newspaper Article,,Builders of the M.E. church and Mrs. H. Turner,Builders of the M.E. church and Mrs. H. Turner,9-Jun-10,,LOC Conundrum Supper
332,"internal-pdf://1369602724/Perth Amboy evening news, June 08, 1910.pdf",,,8-Jun-10,Perth Amboy evening news,,N/A,"Metuchen, New Jersey",6317, Newspaper Article,,Ladies of the Baptist church,Ladies of the Baptist church,9-Jun-10,,LOC Conundrum Supper
333,"internal-pdf://1156541311/Perth Amboy evening news, October 24, 1905.pdf",,,24-Oct-05,Perth Amboy evening news,,Mission hall,"Woodbridge, New Jersey",6321, Newspaper Article,,Ladies’ Aid society of St. Jame’s church of Rosebank,Ladies’ Aid society of St. Jame’s church of Rosebank,24-Oct-05,,LOC Conundrum Supper
334,"internal-pdf://1708302646/Perth Amboy evening news, August 30, 1905.pdf",,,30-Aug-05,Perth Amboy evening news,,Lawn of the church,"Tottenville, New Jersey",6319, Newspaper Article,,"Ladies’ Aid society of the South Baptist church, of Tottenville","Ladies’ Aid society of the South Baptist church, of Tottenville",8-Sep-05,,LOC Conundrum Supper
335,"internal-pdf://0380390179/Perth Amboy evening news, September 08, 1905.pdf",,,8-Sep-05,Perth Amboy evening news,,Lawn of the church,"Tottenville, New Jersey",6397, Newspaper Article,,Ladies’ Aid society of the South Baptist church of Tottenville,Ladies’ Aid society of the South Baptist church of Tottenville,8-Sep-05,,LOC Conundrum Supper
336,"internal-pdf://3138376564/The Portland daily press, April 01, 1898.pdf",,,"April 01, 1898",The Portland daily press,,Methodist vestry,"Bridgton, Maine",6225, Newspaper Article,,Officers of the Ladies Circle,Officers of the Ladies Circle,"April 07, 1898",,LOC Conundrum Supper
337,"internal-pdf://1376710090/The Portland daily press, December 08, 1894.pdf",,,"December 08, 1894",The Portland daily press,,Vestry,"Limerick, Maine",6212, Newspaper Article,,Ladies of the Congregational church,Ladies of the Congregational church,"December 05, 1894",,LOC Conundrum Supper
338,"internal-pdf://2040651427/The Portland daily press, January 08, 1895.pdf","January 08, 1895",,,The Portland daily press,,Maple Lodge hall,"North Deering, Maine",6211, Newspaper Article,,Maple Lodge,Maple Lodge,"January 04, 1895",,LOC Conundrum Supper
339,"internal-pdf://3616831735/The Portland daily press, January 09, 1893.pdf",,,"January 09, 1893",The Portland daily press,,N/A,"Portland, Maine",6210, Newspaper Article,,Bosworth Post,Bosworth Post,"January 10, 1893",,LOC Conundrum Supper
340,"internal-pdf://0111537758/The Portland daily press, January 27, 1899.pdf",,,"January 27, 1899",The Portland daily press,,Church on Pleasant street,"Deering, Maine",6226, Newspaper Article,,Epworth league of the Clark Memorial Methodist church,Epworth league of the Clark Memorial Methodist church,"January 26, 1899",,LOC Conundrum Supper
341,"internal-pdf://3617318123/The Portland daily press, May 24, 1892.pdf",,,"May 24, 1892",The Portland daily press,,N/A,"Old Orchard, Maine",6217, Newspaper Article,,Epworth league of Old Orchard,Epworth league of Old Orchard,"May 23, 1892",,LOC Conundrum Supper
342,"internal-pdf://3211441673/The Portland daily press, November 11, 1891.pdf",,,"November 11, 1891",The Portland daily press,“served on the European plan”,Vestry of Congress Street M.E. church,"Portland, Maine",6216, Newspaper Article,,King’s Daughters,King’s Daughters,"November 11, 1891",,LOC Conundrum Supper
343,"internal-pdf://1713258263/The Portland daily press, November 22, 1895.pdf",,,"November 22, 1895",The Portland daily press,Contains eBOF; same event is referenced in the issue from November 18,Congregational chapel,"Westbrook, Maine",6222, Newspaper Article,,Young men company called “Banner Class”,Young men company called “Banner Class”,"November 20, 1895",,LOC Conundrum Supper
344,"internal-pdf://3264626260/The Portland daily press, November 29, 1900.pdf",,,29-Nov-00,The Portland daily press,Same event is referenced in the issue from December 05,"Maple Grove, Grange hall","Sebago, Maine",6224, Newspaper Article,,Ladies’ Circle at Convens,Ladies’ Circle at Convens,28-Nov-00,,LOC Conundrum Supper
345,"internal-pdf://3520709981/The Portland daily press, October 06, 1898.pdf",,,"October 06, 1898",The Portland daily press,,Maple hall,"North Deering, Maine",6223, Newspaper Article,,Maple lodge,Maple lodge,"October 07, 1898",,LOC Conundrum Supper
346,"internal-pdf://3922957433/Potosi journal, November 28, 1906.pdf",,,28-Nov-06,Potosi journal,,Old Methodist church,"Potosi, Missouri",6291, Newspaper Article,,Junior Epworth league,Junior Epworth league,20-Nov-06,,LOC Conundrum Supper
347,"internal-pdf://3692101149/The Press, April 03, 1902.pdf",,,3-Apr-02,The Press,"Despite proximity to April 05 issue reference, they seem to be different events",Church vestry,"Mansfield, Connecticut",6059, Newspaper Article,,Ladies’ Aid society of the Spring Hill Baptist church,Ladies’ Aid society of the Spring Hill Baptist church,1-Apr-02,,LOC Conundrum Supper
348,"internal-pdf://1395235124/The Press, April 19, 1916.pdf",,,19-Apr-16,The Press,,Universalist church,"Stafford, Connecticut",6055, Newspaper Article,,Y.P.C.U.,Y.P.C.U.,19-Apr-16,,LOC Conundrum Supper
349,"internal-pdf://2027907665/The Press, April 26, 1894.pdf",,,"April 26, 1894",The Press,Contains one eBOF dish; Same event is reference in the issue from April 05,Society Hall,"Stafford, Connecticut",6060, Newspaper Article,,W.R.C.,W.R.C.,"April 20, 1894",,LOC Conundrum Supper
350,"internal-pdf://3244173416/The Press, February 06, 1902.pdf",,,6-Feb-02,The Press,Same event is referenced in the issue from February 13,Congregational church,"Staffordville, Connecticut",6058, Newspaper Article,,Ladies’ Aid society of the Congregational church,Ladies’ Aid society of the Congregational church,6-Feb-02,,LOC Conundrum Supper
351,"internal-pdf://3080593841/The Press, January 05, 1899.pdf",,,"January 05, 1899",The Press,Same event referenced as the issue from January 12th,Vestry,"Staffordville, Connecticut",6061, Newspaper Article,,Ladies’ Aid society of the Congregational church,Ladies’ Aid society of the Congregational church,"January 12, 1899",,LOC Conundrum Supper
352,"internal-pdf://3936859992/The Press, January 26, 1899.pdf",,,"January 26, 1899",The Press,Same event referenced as the one in the issue from January 19th,Vestry,"West Stafford, Connecticut",6062, Newspaper Article,,Christian Endeavor society,Christian Endeavor society,"January 26, 1899",,LOC Conundrum Supper
353,"internal-pdf://1504569914/The Press, June 10, 1914.pdf",,,10-Jun-14,The Press,Same event is referenced in the issue from June 03,Congregational vestry,"Staffordville, Connecticut",6056, Newspaper Article,,N/A,N/A,11-Jun-14,,LOC Conundrum Supper
354,"internal-pdf://2306743114/The Press, October 23, 1902.pdf",,,23-Oct-02,The Press,,N/A,"Mansfield, Connecticut",6057, Newspaper Article,,Men of Gurleyville,Men of Gurleyville,17-Oct-02,,LOC Conundrum Supper
355,"internal-pdf://0352118602/The Press, November 05, 1891.pdf",,,"Novermber 05, 1891",The Press,,Grace church,"Stafford, Connecticut",6054, Newspaper Article,,N/A,N/A,"October 29, 1891",,LOC Conundrum Supper
356,"internal-pdf://3259267543/The Princeton union, October 06, 1892.pdf",,,"October 06, 1892",The Princeton union,Same event is referenced in the issue from October 13,Good Templar’s hall,"Princeton, Minnesota",6275, Newspaper Article,,Ladies’ Aid society,Ladies’ Aid society,"October 07, 1892",,LOC Conundrum Supper
357,"internal-pdf://1486222839/The Princeton union, October 11, 1917.pdf",,,11-Oct-17,The Princeton union,Same event is referenced is the issue from October 18,Good Templats’ hall,"Princeton, Minnesota",6285, Newspaper Article,,Ladies’ Aid society,Ladies’ Aid society,12-Oct-17,,LOC Conundrum Supper
358,"internal-pdf://2534935305/The Rathdrum tribune, March 09, 1906.pdf",,,9-Mar-06,The Rathdrum tribune,,Residence of Dr. Drennan,"Rathdrum, Idaho",6081, Newspaper Article,,Ladies’ Aid society,Ladies’ Aid society,2-Mar-06,,LOC Conundrum Supper
359,"internal-pdf://1192707553/The Ravalli Republican, February 24, 1897.pdf",,,"February 24, 1897",The Ravalli Republican,Contains eBOF; same event is referenced in the issue from March 3,Parsonage,"Stevensville, Montana",6298, Newspaper Article,,Ladies of the M.E. church,Ladies of the M.E. church,"March 04, 1897",,LOC Conundrum Supper
360,"internal-pdf://3006968064/The record-union, March 15, 1892.pdf",,,"March 15, 1892",The record-union,Contains eBOF; event is also referenced on the March 16 issue,N/A,"Sacramento, California",6013, Newspaper Article,,Y.P.S.C.E. of Westminster Presbyterian Church,Y.P.S.C.E. of Westminster Presbyterian Church,"March 15, 1892",,LOC Conundrum Supper
361,"internal-pdf://4146382457/The record-union, November 15, 1897.pdf",,,"November 15, 1897",The record-union,Event is referenced twice in the same issue,Oak Park Chapel,"Sacramento, California",6021, Newspaper Article,,Ladies of the Oak Park Baptist Church,Ladies of the Oak Park Baptist Church,"November 19, 1897",,LOC Conundrum Supper
362,"internal-pdf://4059243599/The record-union, October 20, 1893.pdf",,,"October 20, 1893",The record-union,,N/A,"Sacramento, California",6016, Newspaper Article,,Ladies of the First Baptist Church,Ladies of the First Baptist Church,"October 20, 1893",,LOC Conundrum Supper
363,"internal-pdf://1242608869/The Redwood gazette, April 18, 1900.pdf",,,18-Apr-00,The Redwood gazette,,N/A,"Redwood Falls, Minnesota",6286, Newspaper Article,,Congregational Ladies Aid,Congregational Ladies Aid,14-Apr-00,,LOC Conundrum Supper
364,"internal-pdf://0631704560/The Republican journal, May 05, 1898.pdf",,,"May 05, 1898",The Republican journal,,Grange hall,"Knox, Maine",6218, Newspaper Article,,The grange at the Centre,The grange at the Centre,"April 23, 1898",,LOC Conundrum Supper
365,"internal-pdf://2474738227/The Republican journal, January 03, 1895.pdf",,,"January 03, 1895",The Republican journal,,N/A,"Belfast, Maine",6219, Newspaper Article,,Epworth league,Epworth league,"April XX, 1895",,LOC Conundrum Supper
366,"internal-pdf://2260289373/The Republican journal, February 06, 1896.pdf",,,"February 06, 1896",The Republican journal,,G. A.R. hall,"Pittsfield, Maine",6221, Newspaper Article,,N/A,N/A,"January 30, 1896",,LOC Conundrum Supper
367,"internal-pdf://0945117269/The Republican journal, July 16, 1914.pdf",,,16-Jul-14,The Republican journal,,N/A,"Searsmont, Maine",6206, Newspaper Article,,Improvement Society,Improvement Society,N/A,,LOC Conundrum Supper
368,"internal-pdf://0352406212/The Republican journal, August 31, 1899.pdf",,,"August 31, 1899",The Republican journal,Same event is referenced in the issue from September 14,Grange hall,"Swanville, Maine",6220, Newspaper Article,,Comet Grange,Comet Grange,"September 07, 1899",,LOC Conundrum Supper
369,"internal-pdf://1374344036/The Rice belt journal, March 17, 1916.pdf",,,17-Mar-16,The Rice belt journal,Contains eBOF; duplicate reference in the same issue and the same event is referenced in the issue from March 24,Southern Marcantile building,"Welsh, Louisiana",6205, Newspaper Article,,Ladies’ Aid,Ladies’ Aid,18-Mar-16,,LOC Conundrum Supper
370,"internal-pdf://2044897755/The Richmond palladium and sun-telegram, Janua.pdf",,,12-Jan-11,The Richmond palladium and sun-telegram,,Residence of Mr. and Mrs. Charles Davis (northwest of town),"Cambridge City, Indiana",6189, Newspaper Article,,Mr. and Mrs. Charles Davis,Mr. and Mrs. Charles Davis,9-Jan-11,,LOC Conundrum Supper
371,"internal-pdf://2025554010/Richmond Planet, May 08, 1897.pdf",,,"May 08, 1897",Richmond Planet,Unclear as to whether this event actually took place in Virginia. It seems to be under a “New Haven [Conneticut] News” section.,Association hall corner,"Richmond, Virginia",6391, Newspaper Article,,Women’s Auxiliary of the Goffe Street Branch Y.M.C.A.,Women’s Auxiliary of the Goffe Street Branch Y.M.C.A.,"May 14, 1897",,LOC Conundrum Supper
372,"internal-pdf://0711645628/Rock Island Argus, November 30, 1894.pdf","November 30, 1894",,,Rock Island Argus,,Christian church,"Rock Island, Illinois",6089, Newspaper Article,,Christian Endeavor society,Christian Endeavor society,"December 04, 1894",,LOC Conundrum Supper
373,"internal-pdf://2379086068/Rock Island Argus, February 19, 1894.pdf",,,"February 19, 1894",Rock Island Argus,,Broadway church,"Rock Island, Illinois",6088, Newspaper Article,,N/A,N/A,"February 20, 1894",,LOC Conundrum Supper
374,"internal-pdf://0110613199/The Saint Paul globe, April 30, 1897.pdf",,,"April 30, 1897",The Saint Paul globe,,Parlors of the church,"St. Paul, Minnesota",6284, Newspaper Article,,Men of Olivet Congregational church,Men of Olivet Congregational church,"April 29, 1897",,LOC Conundrum Supper
375,"internal-pdf://0711645627/The Saint Paul globe, February 20, 1899.pdf",,,"February 20, 1899",The Saint Paul globe,Same event is referenced (I believe) in the issue from February 14,"Rooms of the retail clerks on tration lodge, B. of L.F.","St. Paul, Minnesota",6272, Newspaper Article,,"Minnehaha Lodge No. 57, the ladies’ auxillary to the B. of L.F.","Minnehaha Lodge No. 57, the ladies’ auxillary to the B. of L.F.","February 28, 1899",,LOC Conundrum Supper
376,"internal-pdf://0382697710/The Saint Paul globe, March 29, 1898.pdf",,,"March 29, 1898",The Saint Paul globe,Same event is referenced in the issue from March 31,Church parlors,"St. Paul, Minnesota",6266, Newspaper Article,,Young people of the First Baptist church,Young people of the First Baptist church,"March 31, 1898",,LOC Conundrum Supper
377,"internal-pdf://1682085270/The Saint Paul globe, May 26, 1901.pdf",,,26-May-01,The Saint Paul globe,,Central hall,"St. Paul, Minnesota",6279, Newspaper Article,,Acker Woman’s Relief corps,Acker Woman’s Relief corps,25-May-01,,LOC Conundrum Supper
378,"internal-pdf://2795514971/The Saint Paul globe, October 09, 1896.pdf",,,"October 09, 1896",The Saint Paul globe,"Contains eBOF; Same event is referenced is the issues from October 04, October 06, and October 08,",Guild hall,"St. Paul, Minnesota",6283, Newspaper Article,,Young people of St. Clement’s church,Young people of St. Clement’s church,"October 08, 1896",,LOC Conundrum Supper
379,"internal-pdf://1682085271/The Salt Lake Herald, February 17, 1906.pdf",,,18-Feb-06,The Salt Lake Herald,,AOUW Hall,"Salt Lake City, Utah",6096, Newspaper Article,,Ladies of the Episcopal Church,Ladies of the Episcopal Church,17-Feb-06,,LOC Conundrum Supper
380,"internal-pdf://1760955944/The Salt Lake Herald, January 10, 1903.png",,,11-Jan-03,The Salt Lake Herald,,N/A,"Salt Lake City, Utah",6001, Newspaper Article,,Mr GN Child,Mr GN Child,11-Jan-03,,LOC Conundrum Supper
381,"internal-pdf://3259267544/The Salt Lake Herald, June 19, 1904.pdf",,,19-Jun-04,The Salt Lake Herald,,The home of Mr and Mrs Ed Anderson,"Salt Lake City, Utah",6092, Newspaper Article,,Mr and Mrs Ed Anderson,Mr and Mrs Ed Anderson,14-Jun-04,,LOC Conundrum Supper
382,"internal-pdf://1782280522/The Salt Lake Herald, November 09, 1902.pdf",,,9-Nov-02,The Salt Lake Herald,,N/A,"Salt Lake City, Utah",6093, Newspaper Article,,Miss Jennie Mitchell,Miss Jennie Mitchell,5-Nov-02,,LOC Conundrum Supper
383,"internal-pdf://1566288817/The Salt Lake Herald, October 30, 1907.pdf",,,30-Oct-07,The Salt Lake Herald,Event referred to on October 31 as well.,Lecture Room of the Church,"Salt Lake City, Utah",6094, Newspaper Article,,Ladies Aid Society,Ladies Aid Society,31-Oct-07,,LOC Conundrum Supper
384,"internal-pdf://1927495992/The Salt Lake Herald-Republican, October 03, 1.pdf",,,3-Oct-09,The Salt Lake Herald-Republican,Also mentioned October 02,Home of Mrs. J. E. Austin,"Salt Lake City, Utah",6095, Newspaper Article,,Mrs. J. E. Austin,Mrs. J. E. Austin,30-Sep-09,,LOC Conundrum Supper
385,"internal-pdf://1741639525/The Salt Lake Tribune, March 05, 1905.png",,,5-Mar-05,The Salt Lake Tribune,,Fifth Ward Amusement Hall,"Salt Lake City, Utah",5999, Newspaper Article,,The Fifth Ward Amusement Committee,The Fifth Ward Amusement Committee,3-Mar-05,,LOC Conundrum Supper
386,"internal-pdf://2216617583/Salt Lake Tribune, October 30, 1907.png",,,30-Oct-07,The Salt Lake Tribune,,Lecture room of the church,"Salt Lake City, Utah",6000, Newspaper Article,,The Ladies’ Aid Society of the Westminster Presbyterian Church,The Ladies’ Aid Society of the Westminster Presbyterian Church,31-Oct-07,,LOC Conundrum Supper
387,"internal-pdf://0096055805/The San Juan Islander, February 11, 1910.pdf",,,11-Feb-10,The San Juan Islander,Also mentioned February 04.,Forester’s hall,"Friday Harbor, Washington",6427, Newspaper Article,,Epworth League of the M.E. Church,Epworth League of the M.E. Church,16-Feb-10,,LOC Conundrum Supper
